filename,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,area_sum,class_1_perc,class_2_perc,class_3_perc,class_4_perc,class_5_perc,class_6_perc,class_7_perc,SG_all_perc,classifier,date
LULC_svm_Classified_6K_2018-08-03.tif,114158025,5920019,493100,1549634,1595738,279619,395517,1798798,12032425,0.4920054768677137,0.04098093277124104,0.12878817029817347,0.13261981686983298,0.02323879018568576,0.032870930007874555,0.1494958829994785,0.1697691030694145,svm,2018-08-03
LULC_cart_Classified_6K_2018-10-10.tif,208500596,1658726,60527,545156,372078,7742,191585,869622,3705436,0.4476466467104006,0.016334649957521867,0.14712330748662236,0.10041409431980475,0.0020893627632483733,0.05170376711404542,0.23468817164835662,0.16345795744414424,cart,2018-10-10
LULC_cons_Classified_6K_2018-10-10.tif,208621500,2117936,70651,584460,332747,7724,54635,537283,3705436,0.5715753827619746,0.01906685205195826,0.15773042632499928,0.08979968888951259,0.002084505035304887,0.014744553677354028,0.1449985912588964,0.17679727837695755,cons,2018-10-10
LULC_gbt_Classified_6K_2018-10-10.tif,208500596,2092108,68839,422028,431136,21055,166089,504181,3705436,0.5646050829106211,0.018577840772313975,0.11389428936297914,0.1163522997023832,0.005682192325005748,0.04482306535587175,0.13606522957082515,0.13247213013529313,gbt,2018-10-10
LULC_knn_Classified_6K_2018-10-10.tif,208500596,2000668,87935,705988,195441,20,10,715374,3705436,0.5399278249577107,0.023731350372803633,0.19052764640922148,0.05274440038905003,5.397475492762525e-06,2.6987377463812627e-06,0.19306068165797494,0.21425899678202512,knn,2018-10-10
LULC_rf_Classified_6K_2018-10-10.tif,208500596,2093413,73699,569167,337354,32830,41177,557796,3705436,0.5649572681865238,0.019889427317055265,0.1536032466894584,0.09104299736927045,0.008859956021369684,0.011112592418274125,0.15053451199804826,0.17349267400651366,rf,2018-10-10
LULC_svm_Classified_6K_2018-10-10.tif,208500596,2047913,69825,511047,353762,43120,170567,509202,3705436,0.552678011440489,0.018843936314107166,0.1379181829074905,0.09547108626353282,0.011636957162396004,0.046031560118701284,0.13742026579328318,0.15676211922159766,svm,2018-10-10
LULC_cart_Classified_6K_2018-10-15.tif,199198836,6377211,44271,733437,1463311,1850821,105082,2433063,13007196,0.49028330164318273,0.0034035775273932984,0.05638701838582274,0.11250011147675487,0.1422920820136792,0.008078758865477233,0.18705515008768991,0.05979059591321604,cart,2018-10-15
LULC_cons_Classified_6K_2018-10-15.tif,199319740,7680040,54617,852796,1156500,996739,29700,2236804,13007196,0.5904454734133321,0.0041989833935000285,0.06556340044387737,0.08891232207156716,0.07662981322031281,0.0022833514617600905,0.17196665599565042,0.0697623838373774,cons,2018-10-15
LULC_gbt_Classified_6K_2018-10-15.tif,199198836,6889177,51168,778291,1370550,1371822,48380,2497808,13007196,0.5296435142516496,0.003933822477957586,0.059835417256724664,0.10536859750556538,0.10546638952776602,0.0037194795865304097,0.1920327793938063,0.06376923973468225,gbt,2018-10-15
LULC_knn_Classified_6K_2018-10-15.tif,199198836,7998821,70949,1027726,709284,828860,57,2371499,13007196,0.6149535226500777,0.005454596055906285,0.07901210991208252,0.05453012317181966,0.06372318830284406,4.3821896740850215e-06,0.1823220777175957,0.0844667059679888,knn,2018-10-15
LULC_rf_Classified_6K_2018-10-15.tif,199198836,7079880,48856,776923,1195145,1478049,3823,2424520,13007196,0.5443048601712468,0.0037560747143350498,0.059730244704546624,0.0918833697900762,0.11363317658932794,0.0002939142302460884,0.18639835980022135,0.06348631941888168,rf,2018-10-15
LULC_svm_Classified_6K_2018-10-15.tif,199198836,8033861,67514,1004207,1304178,337588,232235,2027613,13007196,0.617647416091831,0.005190511467652213,0.07720395694813856,0.10026588359243606,0.02595394118763183,0.017854347701072543,0.15588394301123779,0.08239446841579078,svm,2018-10-15
LULC_cart_Classified_6K_2018-11-16.tif,117801110,5192253,47049,469155,886918,349471,104258,2299578,9348682,0.5553994670050816,0.005032688030248542,0.05018407942424397,0.09487091335441723,0.037381846981210824,0.011152160272431986,0.24597884493236588,0.05521676745449251,cart,2018-11-16
LULC_cons_Classified_6K_2018-11-16.tif,117868278,5789155,51628,541961,809572,83549,28297,2044520,9348682,0.619248253390157,0.005522489694269203,0.05797191518547748,0.08659744764021281,0.008936981705014675,0.003026843783968692,0.2186960686009001,0.06349440487974668,cons,2018-11-16
LULC_gbt_Classified_6K_2018-11-16.tif,117801110,5578656,46575,473145,894402,185705,67756,2102443,9348682,0.5967318173834557,0.004981985695951579,0.05061087755471841,0.09567145400816927,0.01986429744856013,0.0072476526637658654,0.22489191524537896,0.05559286325066999,gbt,2018-11-16
LULC_knn_Classified_6K_2018-11-16.tif,117801110,5623856,61506,738945,691139,73926,2,2159308,9348682,0.6015667235231662,0.006579109226305911,0.07904269286301534,0.07392903085162165,0.007907638745226332,2.1393389998718537e-07,0.2309745908567646,0.08562180208932124,knn,2018-11-16
LULC_rf_Classified_6K_2018-11-16.tif,117801110,5709678,53676,483605,846392,100786,6154,2148391,9348682,0.6107468411055162,0.00574155800785608,0.051729751851651386,0.0905359707389769,0.010780771022054231,0.0006582746102605693,0.22980683266368457,0.05747130985950746,rf,2018-11-16
