cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,filename,classifier,date
426,0,0,2,1,0,28,0,371,0,0,3,0,0,1,0,353,0,25,2,11,0,0,0,52,3,0,4,3,4,17,0,393,0,2,2,0,0,0,2,3,4,24,2,6,1,4,0,438,ConfusionMatrix_CART_2018-10-15.csv,CART,2018-10-15
307,0,0,0,0,0,5,0,269,0,0,4,0,0,0,0,269,0,12,0,1,31,0,0,216,3,0,32,0,10,1,0,264,0,1,29,51,99,10,53,12,18,4,1,5,0,0,0,293,ConfusionMatrix_Cons_2018-10-15.csv,Cons,2018-10-15
433,0,0,1,0,0,23,0,373,0,0,1,0,0,1,0,378,0,9,1,3,1,0,0,54,3,1,0,3,0,7,0,408,0,1,3,1,2,1,0,3,1,14,2,2,0,1,0,456,ConfusionMatrix_GBT_2018-10-15.csv,GBT,2018-10-15
422,0,1,0,1,0,33,0,368,1,0,5,0,0,0,11,370,0,8,0,3,11,0,0,37,9,0,2,27,25,35,0,326,0,6,4,0,5,0,1,0,1,23,0,11,0,2,0,439,ConfusionMatrix_KNN_2018-10-15.csv,KNN,2018-10-15
430,0,1,1,1,0,24,0,373,0,0,1,0,0,0,0,378,0,12,0,2,2,0,0,50,6,0,1,3,0,9,0,406,0,1,4,1,2,0,0,1,3,19,2,3,0,2,0,449,ConfusionMatrix_RF_2018-10-15.csv,RF,2018-10-15
401,0,3,0,0,0,53,0,371,0,0,3,0,0,13,6,329,0,40,1,3,1,0,0,57,0,0,1,29,3,26,1,335,0,25,0,1,2,2,0,6,0,63,0,45,0,3,0,364,ConfusionMatrix_SVM_2018-10-15.csv,SVM,2018-10-15
464,0,0,0,3,0,19,0,46,0,0,1,0,2,0,1,367,0,4,0,13,0,0,0,47,0,0,0,2,2,1,0,114,0,0,1,0,0,0,0,2,0,31,0,15,0,1,0,417,ConfusionMatrix_CART_2018-11-16.csv,CART,2018-11-16
308,0,0,0,0,0,1,0,232,0,0,1,0,0,1,0,345,0,0,0,1,1,0,0,330,0,0,2,0,2,0,0,77,0,0,36,124,115,11,0,34,31,3,0,14,0,0,0,331,ConfusionMatrix_Cons_2018-11-16.csv,Cons,2018-11-16
477,0,0,0,0,0,9,0,48,0,0,1,0,0,0,0,381,0,0,0,4,0,0,0,47,0,0,0,0,2,0,0,117,0,0,1,0,0,0,0,1,1,22,0,13,0,0,0,429,ConfusionMatrix_GBT_2018-11-16.csv,GBT,2018-11-16
471,0,2,0,2,0,11,0,42,2,0,4,0,1,2,1,368,0,3,0,11,1,0,0,46,0,0,0,14,0,2,0,99,0,4,2,0,0,0,0,0,1,24,0,21,0,0,0,419,ConfusionMatrix_KNN_2018-11-16.csv,KNN,2018-11-16
476,0,0,0,0,0,10,0,48,0,0,1,0,0,0,0,379,0,1,0,5,0,0,0,47,0,0,0,1,3,0,0,114,0,1,2,0,0,0,0,0,1,23,0,16,0,0,0,425,ConfusionMatrix_RF_2018-11-16.csv,RF,2018-11-16
426,0,1,0,25,2,32,0,43,4,0,1,0,1,2,0,368,0,4,2,9,0,0,0,47,0,0,0,9,2,12,0,93,0,3,0,0,1,0,0,2,0,36,0,41,0,3,1,383,ConfusionMatrix_SVM_2018-11-16.csv,SVM,2018-11-16
492,0,0,1,8,0,31,0,57,0,0,4,0,4,0,0,363,0,4,1,18,2,0,0,55,2,0,1,2,3,12,0,262,0,2,0,0,2,0,1,2,2,25,11,25,0,1,2,407,ConfusionMatrix_CART_2018-12-11.csv,CART,2018-12-11
324,0,0,0,0,0,2,0,217,1,0,6,0,1,0,0,315,0,1,0,8,72,0,0,225,2,0,27,0,1,1,0,184,0,0,33,108,83,0,9,21,59,6,2,6,0,2,1,283,ConfusionMatrix_Cons_2018-12-11.csv,Cons,2018-12-11
515,0,0,1,1,0,15,0,57,0,0,3,0,5,0,0,358,0,2,0,26,3,0,0,57,0,0,0,1,3,1,0,276,0,0,0,0,1,1,2,3,0,15,7,20,0,0,0,429,ConfusionMatrix_GBT_2018-12-11.csv,GBT,2018-12-11
506,0,0,1,0,0,25,0,49,0,0,12,0,4,0,4,353,0,7,0,22,3,0,0,53,1,0,3,14,0,20,0,244,0,3,0,0,2,0,4,0,1,17,19,16,0,0,0,419,ConfusionMatrix_KNN_2018-12-11.csv,KNN,2018-12-11
505,0,0,1,3,0,23,0,59,0,0,3,0,3,0,0,358,0,4,0,24,3,0,0,56,1,0,0,3,3,3,0,272,0,0,0,0,2,0,3,2,0,17,7,18,0,0,0,429,ConfusionMatrix_RF_2018-12-11.csv,RF,2018-12-11
500,0,0,2,5,0,25,0,43,0,0,4,0,18,0,0,338,0,10,0,38,4,0,0,55,0,0,1,14,0,29,0,236,0,2,0,0,4,0,0,2,1,91,14,36,0,1,2,327,ConfusionMatrix_SVM_2018-12-11.csv,SVM,2018-12-11
490,2,3,0,5,0,22,2,95,1,0,0,0,0,2,0,350,0,7,0,38,2,0,1,51,3,0,3,6,2,4,0,327,0,5,1,2,0,0,0,6,0,24,4,38,1,1,2,413,ConfusionMatrix_CART_2019-02-24.csv,CART,2019-02-24
325,1,0,0,0,0,1,0,90,1,0,2,0,4,0,0,336,1,1,0,6,2,0,24,234,4,0,52,1,2,0,0,230,0,0,27,80,155,6,24,26,8,5,9,13,1,0,0,329,ConfusionMatrix_Cons_2019-02-24.csv,Cons,2019-02-24
508,0,5,0,0,0,9,0,97,0,0,1,0,0,0,1,365,0,6,0,25,0,0,0,56,2,0,2,2,1,1,0,340,0,0,1,2,0,0,0,5,1,20,1,26,1,0,1,434,ConfusionMatrix_GBT_2019-02-24.csv,GBT,2019-02-24
505,2,4,0,0,0,11,2,91,0,0,2,0,3,1,6,332,0,15,0,43,2,0,1,52,0,0,5,28,0,21,0,290,0,5,1,1,6,1,0,0,0,22,12,35,0,4,0,410,ConfusionMatrix_KNN_2019-02-24.csv,KNN,2019-02-24
506,1,5,0,0,0,10,0,97,0,0,1,0,0,0,1,371,0,6,0,19,0,0,1,54,1,0,4,4,1,3,0,334,0,2,1,2,2,0,0,4,0,21,2,31,0,3,1,425,ConfusionMatrix_RF_2019-02-24.csv,RF,2019-02-24
