cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,filename,classifier,date,accuracy,kappa,fscore
506,0,0,0,0,0,3,0,374,10,0,1,0,0,3,11,356,0,6,0,12,3,0,0,45,2,0,1,25,18,21,0,259,0,15,0,0,4,0,0,0,4,2,0,3,1,2,0,466,ConfusionMatrix_KNN_2018-08-03.csv,KNN,2018-08-03,0.931723176962378,0.9149663711316994,0.7944399341143179
505,0,0,0,1,0,3,0,383,1,0,1,0,0,0,0,374,0,4,0,10,1,0,0,50,0,0,0,0,3,3,0,332,0,0,0,0,2,0,0,5,1,1,0,2,1,3,0,467,ConfusionMatrix_RF_2018-08-03.csv,RF,2018-08-03,0.9828146771946121,0.9786696234992142,0.9520828659797215
487,0,11,1,4,0,6,0,380,0,0,5,0,0,0,22,330,0,16,1,19,1,0,0,49,0,0,1,21,14,86,1,205,0,11,0,0,3,0,0,5,0,33,0,29,0,0,1,411,ConfusionMatrix_SVM_2018-08-03.csv,SVM,2018-08-03,0.8671620993961914,0.8348523412712249,0.8422276142409173
508,0,0,0,0,0,0,0,178,0,0,0,2,0,0,0,307,0,3,2,2,0,0,0,10,0,0,1,0,0,0,0,5,0,0,1,1,2,0,0,1,1,2,0,3,2,0,0,376,ConfusionMatrix_CART_2018-10-10.csv,CART,2018-10-10,0.984363894811656,0.9785656564397551,0.8251039221020616
334,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,323,0,1,0,10,1,0,0,336,0,0,19,0,0,0,0,2,0,0,23,90,145,0,0,49,12,3,0,52,0,0,0,275,ConfusionMatrix_Cons_2018-10-10.csv,Cons,2018-10-10,0.822,0.7862720624565864,0.7835379344460064
508,0,0,0,0,0,0,0,178,0,0,0,2,0,0,0,310,0,3,0,1,0,0,0,11,0,0,0,0,0,0,0,5,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,383,ConfusionMatrix_GBT_2018-10-10.csv,GBT,2018-10-10,0.9928926794598436,0.9902537488778304,0.8784289276570147
508,0,0,0,0,0,0,0,177,2,0,0,0,1,0,8,300,0,0,0,6,0,0,0,9,0,0,2,0,0,5,0,0,0,0,0,1,5,0,0,0,0,1,0,1,0,0,0,381,ConfusionMatrix_KNN_2018-10-10.csv,KNN,2018-10-10,0.9772565742714996,0.9687299891793982,0.6869910511370304
508,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,310,0,1,0,3,0,0,0,11,0,0,0,0,0,3,0,2,0,0,1,1,3,0,0,1,0,1,0,1,0,0,0,381,ConfusionMatrix_RF_2018-10-10.csv,RF,2018-10-10,0.9900497512437811,0.9863325740318907,0.8224325735218362
506,0,0,0,0,0,2,0,177,1,0,0,2,0,0,4,303,0,2,0,5,0,0,0,11,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,4,0,5,0,4,0,0,0,374,ConfusionMatrix_SVM_2018-10-10.csv,SVM,2018-10-10,0.9800995024875622,0.9727179427517233,0.8938978156443611
426,0,0,2,1,0,28,0,371,0,0,3,0,0,1,0,353,0,25,2,11,0,0,0,52,3,0,4,3,4,17,0,393,0,2,2,0,0,0,2,3,4,24,2,6,1,4,0,438,ConfusionMatrix_CART_2018-10-15.csv,CART,2018-10-15,0.9309556470050298,0.9146888908809233,0.8518662287673889
307,0,0,0,0,0,5,0,269,0,0,4,0,0,0,0,269,0,12,0,1,31,0,0,216,3,0,32,0,10,1,0,264,0,1,29,51,99,10,53,12,18,4,1,5,0,0,0,293,ConfusionMatrix_Cons_2018-10-15.csv,Cons,2018-10-15,0.815,0.7837923120636585,0.7578382871235222
433,0,0,1,0,0,23,0,373,0,0,1,0,0,1,0,378,0,9,1,3,1,0,0,54,3,1,0,3,0,7,0,408,0,1,3,1,2,1,0,3,1,14,2,2,0,1,0,456,ConfusionMatrix_GBT_2018-10-15.csv,GBT,2018-10-15,0.9625057155921354,0.9536825466928558,0.8782303372645817
422,0,1,0,1,0,33,0,368,1,0,5,0,0,0,11,370,0,8,0,3,11,0,0,37,9,0,2,27,25,35,0,326,0,6,4,0,5,0,1,0,1,23,0,11,0,2,0,439,ConfusionMatrix_KNN_2018-10-15.csv,KNN,2018-10-15,0.897119341563786,0.8726489915570351,0.7542977179246344
430,0,1,1,1,0,24,0,373,0,0,1,0,0,0,0,378,0,12,0,2,2,0,0,50,6,0,1,3,0,9,0,406,0,1,4,1,2,0,0,1,3,19,2,3,0,2,0,449,ConfusionMatrix_RF_2018-10-15.csv,RF,2018-10-15,0.9542752629172382,0.9434683742129968,0.8389091571033698
401,0,3,0,0,0,53,0,371,0,0,3,0,0,13,6,329,0,40,1,3,1,0,0,57,0,0,1,29,3,26,1,335,0,25,0,1,2,2,0,6,0,63,0,45,0,3,0,364,ConfusionMatrix_SVM_2018-10-15.csv,SVM,2018-10-15,0.8518518518518519,0.8171343334425831,0.841846096800767
464,0,0,0,3,0,19,0,46,0,0,1,0,2,0,1,367,0,4,0,13,0,0,0,47,0,0,0,2,2,1,0,114,0,0,1,0,0,0,0,2,0,31,0,15,0,1,0,417,ConfusionMatrix_CART_2018-11-16.csv,CART,2018-11-16,0.9381841596909208,0.9168874724120573,0.9273168968473859
