system:index,mean_chlor_a,system:time_start,.geo
1_20190417D,1.233175833187548,1.5554592E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190418D,1.5730857698491574,1.5555456E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190419D,1.7301252712937258,1.555632E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190420D,1.543270257025478,1.5557184E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190421D,1.4300528693983428,1.5558048E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190422D,1.575921559160271,1.5558912E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190424D,2.020586659461605,1.556064E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190425D,1.4484970372696493,1.5561504E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190430D,0.5018933382382941,1.5565824E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190503D,1.2305196855839953,1.5568416E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190504D,1.4740247834305424,1.556928E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190505D,1.3204354269331904,1.5570144E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190506D,1.6096343537663995,1.5571008E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190507D,1.4395401206456657,1.5571872E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190509D,1.3994953460133785,1.55736E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190511D,1.5146407892787415,1.5575328E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190513D,1.4949348328148602,1.5577056E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190514D,1.2211655309026734,1.557792E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190515D,0.8189821412399303,1.5578784E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190518D,1.2479260301269648,1.5581376E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190519D,0.9323049262620673,1.558224E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190520D,1.530859563590043,1.5583104E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190524D,1.4870828241618383,1.558656E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190528D,1.5388551473626058,1.5590016E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190529D,1.2091813923268064,1.559088E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190601D,1.4999667604084832,1.5593472E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190602D,1.350975716222761,1.5594336E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190605D,1.3077083529325082,1.5596928E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190606D,-0.24544427165137897,1.5597792E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190607D,1.4622064507130677,1.5598656E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190609D,1.5966717512209843,1.5600384E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190610D,-0.37592426885431734,1.5601248E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190612D,0.7993461915005712,1.5602976E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190613D,1.0118304703634993,1.560384E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190614D,1.0359192222638351,1.5604704E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190617D,1.4393728621297177,1.5607296E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190618D,1.4727864459865136,1.560816E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190621D,1.1677173352915924,1.5610752E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190622D,1.459302300098406,1.5611616E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190623D,1.1606165441641996,1.561248E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190624D,0.9333236564361731,1.5613344E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190625D,1.3208671609452667,1.5614208E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190626D,1.6429836292327715,1.5615072E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190628D,2.020586659461605,1.56168E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190629D,1.3832343147429886,1.5617664E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190701D,1.2278828676237392,1.5619392E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190702D,1.523498416955292,1.5620256E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190703D,1.474137886242159,1.562112E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190707D,0.6569025135550233,1.5624576E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190710D,1.2276811519515842,1.5627168E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190713D,0.40001963506515853,1.562976E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190717D,1.2401266499354657,1.5633216E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
