system:index,system:time_start,.geo
A2003047,1.045353901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003048,1.045440601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003049,1.045526401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003050,1.0456128E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003051,1.045701601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003052,1.045786801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003053,1.0458735E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003054,1.045959001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003055,1.0460457E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003056,1.0461312E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003057,1.046217601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003058,1.0463067E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003059,1.046391901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003060,1.0464789E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003061,1.0465641E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003062,1.046650801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003063,1.046736001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003064,1.046823001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003065,1.046908801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003066,1.046997E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003067,1.047084001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003068,1.047169201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003069,1.047255901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003070,1.047341401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003071,1.0474281E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003072,1.047513601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003073,1.047600001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003074,1.047689101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003075,1.047774301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003076,1.047861E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003077,1.0479462E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003078,1.048033201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003079,1.0481184E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003080,1.048205401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003081,1.0482912E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003082,1.0483794E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003083,1.048466401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003084,1.048551601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003085,1.048638301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003086,1.048723501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003087,1.048810501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003088,1.048896001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003089,1.0489827E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003090,1.049071501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003091,1.049156701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003092,1.049243701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003093,1.049328901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003094,1.0494156E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003095,1.0495008E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003096,1.049587801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003097,1.0496736E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003098,1.049761801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003099,1.0498488E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003100,1.049934E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003101,1.050021001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003102,1.050106201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003103,1.0501944E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003104,1.050278401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003105,1.0503669E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003106,1.050454201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003107,1.050539101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003108,1.050627301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003109,1.050711301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003110,1.050799501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003111,1.050883201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003112,1.050972001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003113,1.051056001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003114,1.051144201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003115,1.051232401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003116,1.0513164E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
